#      T              EF              EF(intrinsic)   Ec            Ev
      300.00000       -0.14017       -0.39212        0.00000       -0.80000
      320.00000       -0.15219       -0.39160        0.00000       -0.80000
      340.00000       -0.16437       -0.39107        0.00000       -0.80000
      360.00000       -0.17671       -0.39055        0.00000       -0.80000
      380.00000       -0.18918       -0.39002        0.00000       -0.80000
      400.00000       -0.20180       -0.38950        0.00000       -0.80000
      420.00000       -0.21454       -0.38897        0.00000       -0.80000
      440.00000       -0.22740       -0.38845        0.00000       -0.80000
      460.00000       -0.24037       -0.38792        0.00000       -0.80000
      480.00000       -0.25342       -0.38740        0.00000       -0.80000
      500.00000       -0.26653       -0.38687        0.00000       -0.80000
      520.00000       -0.27962       -0.38635        0.00000       -0.80000
      540.00000       -0.29255       -0.38582        0.00000       -0.80000
      560.00000       -0.30513       -0.38530        0.00000       -0.80000
      580.00000       -0.31705       -0.38477        0.00000       -0.80000
      600.00000       -0.32795       -0.38425        0.00000       -0.80000
      620.00000       -0.33750       -0.38372        0.00000       -0.80000
      640.00000       -0.34552       -0.38320        0.00000       -0.80000
      660.00000       -0.35201       -0.38267        0.00000       -0.80000
      680.00000       -0.35714       -0.38215        0.00000       -0.80000
      700.00000       -0.36111       -0.38162        0.00000       -0.80000
      720.00000       -0.36415       -0.38110        0.00000       -0.80000
      740.00000       -0.36647       -0.38057        0.00000       -0.80000
      760.00000       -0.36821       -0.38005        0.00000       -0.80000
      780.00000       -0.36951       -0.37952        0.00000       -0.80000
      800.00000       -0.37047       -0.37900        0.00000       -0.80000
      820.00000       -0.37115       -0.37847        0.00000       -0.80000
      840.00000       -0.37162       -0.37795        0.00000       -0.80000
      860.00000       -0.37192       -0.37742        0.00000       -0.80000
      880.00000       -0.37208       -0.37690        0.00000       -0.80000
      900.00000       -0.37214       -0.37637        0.00000       -0.80000
      920.00000       -0.37210       -0.37585        0.00000       -0.80000
      940.00000       -0.37199       -0.37532        0.00000       -0.80000
      960.00000       -0.37182       -0.37480        0.00000       -0.80000
      980.00000       -0.37160       -0.37427        0.00000       -0.80000
